ID_CLIENTE,CHURN,GENERO,ADULTO_MAYOR,PAREJA,DEPENDIENTES,ANTIGUEDAD_MESES,SERVICIO_TELEFONICO,LINEAS_MULTIPLES,TIPO_INTERNET,SEGURIDAD_EN_LINEA,RESPALDO_EN_LINEA,PROTECCION_DISPOSITIVO,SOPORTE_TECNICO,STREAMING_TV,STREAMING_PELICULAS,TIPO_CONTRATO,FACTURACION_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,CHURN_FLAG
0002-ORFBO,No,Mujer,0,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Un año,Si,Cheque por correo,656,5933.0,0.0
0003-MKNFE,No,Hombre,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mes a mes,No,Cheque por correo,599,5424.0,0.0
0004-TLHLJ,Si,Hombre,0,No,No,4,Si,No,Fibra óptica,No,No,Si,No,No,No,Mes a mes,Si,Cheque electrónico,739,28085.0,1.0
0011-IGKFF,Si,Hombre,1,Si,No,13,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,980,123785.0,1.0
0013-EXCHZ,Si,Mujer,1,Si,No,3,Si,No,Fibra óptica,No,No,No,Si,Si,No,Mes a mes,Si,Cheque por correo,839,2674.0,1.0
0013-MHZWF,No,Mujer,0,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito (automática),694,57145.0,0.0
0013-SMEOE,No,Mujer,1,Si,No,71,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automática),1097,790425.0,0.0
0014-BMAQU,No,Hombre,0,Si,No,63,Si,Si,Fibra óptica,Si,No,No,Si,No,No,Dos años,Si,Tarjeta de crédito (automática),8465,53778.0,0.0
0015-UOCOJ,No,Mujer,1,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,482,34035.0,0.0
0016-QLJIS,No,Mujer,0,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque por correo,9045,59579.0,0.0
0017-DINOC,No,Hombre,0,No,No,54,No,No phone service,DSL,Si,No,No,Si,Si,No,Dos años,No,Tarjeta de crédito (automática),452,246055.0,0.0
0017-IUDMW,No,Mujer,0,Si,Si,72,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito (automática),1168,845675.0,0.0
0018-NYROU,No,Mujer,0,Si,No,5,Si,No,Fibra óptica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,6895,3515.0,0.0
0019-EFAEP,No,Mujer,0,No,No,72,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,Dos años,Si,Transferencia bancaria (automática),1013,726125.0,0.0
0019-GFNTW,No,Mujer,0,No,No,56,No,No phone service,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria (automática),4505,25601.0,0.0
0020-INWCK,No,Mujer,0,Si,Si,71,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,Dos años,Si,Tarjeta de crédito (automática),9575,68494.0,0.0
0020-JDNXP,No,Mujer,0,Si,Si,34,No,No phone service,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque por correo,6125,19932.0,0.0
0021-IKXGC,No,Mujer,1,No,No,1,Si,Si,Fibra óptica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,721,721.0,0.0
0022-TCJCI,Si,Hombre,1,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito (automática),627,27915.0,1.0
0023-HGHWL,Si,Hombre,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,251,251.0,1.0
0023-UYUPN,No,Mujer,1,Si,No,50,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,No,Cheque electrónico,252,13063.0,0.0
0023-XUOPT,Si,Mujer,0,Si,No,13,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,Mes a mes,No,Cheque electrónico,941,12156.0,1.0
0027-KWYKW,No,Mujer,0,Si,Si,23,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,8375,184995.0,0.0
0030-FNXPP,No,Mujer,0,No,No,3,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,1985,572.0,0.0
0031-PVLZI,Si,Mujer,0,Si,Si,4,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,2035,7635.0,1.0
0032-PGELS,Si,Mujer,0,Si,Si,1,No,No phone service,DSL,Si,No,No,No,No,No,Mes a mes,No,Transferencia bancaria (automática),305,305.0,1.0
0036-IHMOT,No,Mujer,0,Si,Si,55,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria (automática),1037,565675.0,0.0
0040-HALCW,No,Hombre,0,Si,Si,54,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Tarjeta de crédito (automática),204,10906.0,0.0
0042-JVWOJ,No,Hombre,0,No,No,26,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,Si,Transferencia bancaria (automática),196,47185.0,0.0
0042-RLHYP,No,Mujer,0,Si,Si,69,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Transferencia bancaria (automática),197,13969.0,0.0
0047-ZHDTW,,Mujer,0,No,No,11,Si,Si,Fibra óptica,Si,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria (automática),790,9293.0,
0048-LUMLS,No,Hombre,0,Si,Si,37,Si,No,Fibra óptica,No,No,No,No,Si,Si,Un año,No,Tarjeta de crédito (automática),912,324755.0,0.0
0048-PIHNL,No,Mujer,0,Si,No,49,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,No,Transferencia bancaria (automática),2045,9009.0,0.0
0052-DCKON,No,Hombre,0,Si,No,66,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,No,Transferencia bancaria (automática),1158,794215.0,0.0
0052-YNYOT,No,Mujer,0,No,No,67,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,No,Cheque electrónico,2055,13434.0,0.0
0056-EPFBG,No,Hombre,0,Si,Si,20,No,No phone service,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de crédito (automática),394,8254.0,0.0
0057-QBUQH,No,Mujer,0,No,Si,43,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,Si,Cheque electrónico,251,107015.0,0.0
0058-EVZWM,No,Mujer,0,Si,No,55,Si,Si,Fibra óptica,Si,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automática),898,49596.0,0.0
0060-FUALY,No,Mujer,0,Si,No,59,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,Mes a mes,Si,Cheque electrónico,9475,559765.0,0.0
0064-SUDOG,No,Mujer,0,Si,Si,12,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Transferencia bancaria (automática),203,2245.0,0.0
0064-YIJGF,No,Hombre,0,Si,Si,27,Si,Si,Fibra óptica,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria (automática),7575,1929.0,0.0
0067-DKWBL,Si,Hombre,1,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,4925,911.0,1.0
0068-FIGTF,No,Mujer,0,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Un año,No,Cheque por correo,782,207895.0,0.0
0071-NDAFP,No,Hombre,0,Si,Si,25,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Tarjeta de crédito (automática),255,6306.0,0.0
0074-HDKDG,No,Hombre,0,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Un año,Si,Transferencia bancaria (automática),616,1611.0,0.0
0076-LVEPS,No,Hombre,0,No,Si,29,No,No phone service,DSL,Si,Si,Si,Si,No,No,Mes a mes,Si,Cheque por correo,450,124245.0,0.0
0078-XZMHT,No,Hombre,0,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automática),8515,63162.0,0.0
0080-EMYVY,No,Mujer,0,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Un año,No,Tarjeta de crédito (automática),5145,72785.0,0.0
0080-OROZO,No,Mujer,0,No,No,35,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Un año,Si,Cheque electrónico,9925,3532.0,0.0
